epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,796.089,1.1546,0.88912,1.21845,0.80212,0.77467,0.8507,0.53629,1.19959,0.84806,1.31732,0.0091684,0.0091684,0.0091684
44,814.87,1.14383,0.88958,1.22369,0.80919,0.73973,0.8252,0.50947,1.21396,0.86698,1.32642,0.0091486,0.0091486,0.0091486
45,835.2,1.15744,0.90636,1.23608,0.83461,0.75436,0.86109,0.5364,1.19873,0.84727,1.32719,0.0091288,0.0091288,0.0091288
46,854.472,1.14195,0.87337,1.22365,0.77517,0.76093,0.84169,0.52555,1.2279,0.842,1.32787,0.009109,0.009109,0.009109
47,873.131,1.16925,0.89336,1.22776,0.73596,0.78415,0.83382,0.51272,1.21599,0.85405,1.32584,0.0090892,0.0090892,0.0090892
48,891.589,1.1561,0.89647,1.22245,0.76236,0.78856,0.81348,0.50736,1.19309,0.89428,1.31627,0.0090694,0.0090694,0.0090694
49,911.218,1.14227,0.87507,1.2204,0.79007,0.77868,0.85304,0.52963,1.18228,0.82226,1.33072,0.0090496,0.0090496,0.0090496
50,930.285,1.15945,0.89247,1.22464,0.80282,0.76387,0.84164,0.52842,1.17459,0.82493,1.3157,0.0090298,0.0090298,0.0090298
51,948.993,1.14136,0.86809,1.22713,0.85475,0.71536,0.82904,0.52357,1.16769,0.83956,1.31559,0.00901,0.00901,0.00901
52,968.097,1.13246,0.86812,1.21986,0.81535,0.73732,0.82484,0.52482,1.20637,0.84355,1.30602,0.0089902,0.0089902,0.0089902
53,987.322,1.1365,0.8761,1.22168,0.80653,0.75127,0.82829,0.50114,1.20737,0.8879,1.3382,0.0089704,0.0089704,0.0089704
54,1007.18,1.11724,0.86281,1.21328,0.71453,0.76155,0.81193,0.50087,1.21329,0.92168,1.32717,0.0089506,0.0089506,0.0089506
55,1026.82,1.14585,0.87215,1.22146,0.80296,0.76581,0.85988,0.53759,1.18276,0.7996,1.30263,0.0089308,0.0089308,0.0089308
56,1045.23,1.11922,0.84897,1.21789,0.79055,0.77724,0.84745,0.54604,1.16621,0.81932,1.29711,0.008911,0.008911,0.008911
