epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,3437.58,0.92189,0.59892,1.08814,0.84884,0.82492,0.89602,0.58405,1.14636,0.65148,1.31117,0.006535,0.006535,0.006535
177,3455.57,0.90246,0.6047,1.08722,0.85153,0.81631,0.8899,0.5808,1.1215,0.6778,1.28999,0.0065152,0.0065152,0.0065152
178,3474.89,0.91353,0.61538,1.08173,0.83377,0.8202,0.89274,0.5765,1.1382,0.68511,1.28974,0.0064954,0.0064954,0.0064954
179,3494.16,0.88991,0.60471,1.08105,0.89432,0.81357,0.89992,0.58993,1.14164,0.66238,1.28604,0.0064756,0.0064756,0.0064756
180,3512.76,0.91573,0.61097,1.08044,0.86968,0.79621,0.89298,0.57883,1.16814,0.65252,1.30876,0.0064558,0.0064558,0.0064558
181,3532.12,0.91064,0.61102,1.07549,0.8726,0.81728,0.89785,0.58636,1.14338,0.64602,1.2973,0.006436,0.006436,0.006436
182,3551.27,0.87999,0.6007,1.07271,0.86554,0.79344,0.8836,0.57725,1.13768,0.68079,1.29888,0.0064162,0.0064162,0.0064162
183,3570.75,0.90763,0.60305,1.08248,0.88038,0.76443,0.8884,0.58067,1.15368,0.65903,1.30774,0.0063964,0.0063964,0.0063964
184,3590.45,0.88302,0.60489,1.07519,0.85822,0.80279,0.89147,0.57858,1.13541,0.65066,1.30166,0.0063766,0.0063766,0.0063766
185,3609.69,0.91886,0.59847,1.08371,0.88063,0.78141,0.896,0.58829,1.12824,0.65701,1.29968,0.0063568,0.0063568,0.0063568
186,3628.3,0.91564,0.60997,1.0742,0.86584,0.82742,0.89985,0.59211,1.13081,0.6402,1.28163,0.006337,0.006337,0.006337
187,3646.64,0.90154,0.59823,1.06927,0.86282,0.79462,0.88407,0.57788,1.1432,0.64462,1.29728,0.0063172,0.0063172,0.0063172
188,3665.46,0.91781,0.60378,1.07941,0.8919,0.79876,0.88377,0.57792,1.13475,0.65612,1.2968,0.0062974,0.0062974,0.0062974
189,3684.2,0.90618,0.60409,1.07496,0.89516,0.79247,0.89579,0.58641,1.14747,0.66214,1.29894,0.0062776,0.0062776,0.0062776
190,3703.27,0.89811,0.59499,1.06597,0.88215,0.80869,0.89298,0.57587,1.1489,0.65358,1.31218,0.0062578,0.0062578,0.0062578
191,3722.06,0.90989,0.60503,1.07269,0.8954,0.78714,0.89829,0.57561,1.16557,0.64001,1.30916,0.006238,0.006238,0.006238
192,3740.99,0.88027,0.58971,1.06944,0.86392,0.81787,0.89639,0.58326,1.13469,0.63448,1.29903,0.0062182,0.0062182,0.0062182
193,3759.5,0.87555,0.58745,1.05604,0.89311,0.7994,0.90372,0.58234,1.14201,0.63464,1.30205,0.0061984,0.0061984,0.0061984
194,3777.89,0.88391,0.59227,1.07351,0.88424,0.81413,0.89488,0.58897,1.13004,0.6484,1.29444,0.0061786,0.0061786,0.0061786
195,3797.28,0.86244,0.57337,1.0719,0.82953,0.85589,0.90281,0.58977,1.14791,0.64096,1.29935,0.0061588,0.0061588,0.0061588
196,3816.32,0.87797,0.58347,1.06626,0.89837,0.76729,0.89327,0.57286,1.16265,0.66872,1.30885,0.006139,0.006139,0.006139
197,3836.78,0.89988,0.58245,1.07073,0.89387,0.81631,0.90527,0.5814,1.15284,0.63974,1.31679,0.0061192,0.0061192,0.0061192
198,3856.12,0.87391,0.5651,1.06586,0.86423,0.83162,0.89935,0.57718,1.13586,0.65865,1.30741,0.0060994,0.0060994,0.0060994
199,3874.9,0.88865,0.57976,1.06495,0.87456,0.79564,0.89436,0.579,1.1631,0.65213,1.31836,0.0060796,0.0060796,0.0060796
200,3894.2,0.88201,0.57953,1.064,0.83756,0.844,0.89943,0.57518,1.1792,0.64639,1.33111,0.0060598,0.0060598,0.0060598
201,3913.21,0.87041,0.56892,1.0564,0.85175,0.81516,0.89634,0.57685,1.17167,0.64687,1.30823,0.00604,0.00604,0.00604
202,3931.81,0.86637,0.57294,1.06138,0.85151,0.83906,0.90171,0.57902,1.16182,0.63793,1.31702,0.0060202,0.0060202,0.0060202
203,3950.35,0.8506,0.57068,1.06107,0.89335,0.77077,0.88721,0.57322,1.15601,0.66067,1.31216,0.0060004,0.0060004,0.0060004
204,3969.45,0.87724,0.56644,1.05942,0.82991,0.84303,0.89328,0.57086,1.17345,0.67283,1.32912,0.0059806,0.0059806,0.0059806
205,3988.3,0.87283,0.57077,1.06508,0.85245,0.84119,0.90111,0.58657,1.16384,0.65301,1.31974,0.0059608,0.0059608,0.0059608
206,4007.52,0.86806,0.57595,1.06165,0.88935,0.80536,0.89968,0.58529,1.15921,0.64256,1.31786,0.005941,0.005941,0.005941
207,4026.55,0.87388,0.56626,1.05572,0.85416,0.8146,0.89463,0.57727,1.13726,0.66473,1.31024,0.0059212,0.0059212,0.0059212
208,4045.37,0.86441,0.5703,1.05223,0.84554,0.83249,0.89385,0.57668,1.15579,0.64963,1.31918,0.0059014,0.0059014,0.0059014
209,4064.46,0.88679,0.58049,1.06313,0.88491,0.83158,0.90048,0.58034,1.15667,0.64067,1.33181,0.0058816,0.0058816,0.0058816
210,4082.78,0.86931,0.56893,1.05773,0.86074,0.83825,0.90962,0.58588,1.15584,0.63454,1.33219,0.0058618,0.0058618,0.0058618
211,4101.51,0.88258,0.57053,1.07749,0.88194,0.80385,0.89703,0.58379,1.15073,0.6363,1.31662,0.005842,0.005842,0.005842
212,4119.65,0.85235,0.56414,1.06121,0.88218,0.80246,0.89524,0.57528,1.16635,0.64598,1.31653,0.0058222,0.0058222,0.0058222
213,4137.91,0.87187,0.56585,1.05363,0.86233,0.81367,0.90266,0.57974,1.16287,0.64438,1.31908,0.0058024,0.0058024,0.0058024
214,4156.11,0.86504,0.56211,1.06378,0.9025,0.7965,0.89651,0.58527,1.15285,0.64933,1.30899,0.0057826,0.0057826,0.0057826
215,4174.26,0.84563,0.5649,1.05321,0.89015,0.80987,0.89337,0.58468,1.1425,0.65081,1.30211,0.0057628,0.0057628,0.0057628
216,4192.28,0.85793,0.56804,1.05908,0.88289,0.80204,0.89195,0.57694,1.15989,0.65161,1.32413,0.005743,0.005743,0.005743
217,4211.15,0.86589,0.56528,1.0619,0.84295,0.82521,0.89438,0.5914,1.14527,0.65128,1.30132,0.0057232,0.0057232,0.0057232
218,4229.01,0.86472,0.56275,1.05734,0.87724,0.77751,0.88437,0.58886,1.12879,0.64539,1.28914,0.0057034,0.0057034,0.0057034
219,4247.43,0.85401,0.56846,1.05393,0.82572,0.8323,0.89103,0.58364,1.15502,0.64553,1.31914,0.0056836,0.0056836,0.0056836
220,4265.89,0.84526,0.55748,1.05792,0.85349,0.81357,0.88869,0.587,1.12806,0.65813,1.29554,0.0056638,0.0056638,0.0056638
221,4284.82,0.85429,0.56772,1.05633,0.86651,0.77936,0.88982,0.58614,1.12737,0.65226,1.31082,0.005644,0.005644,0.005644
222,4303.84,0.84898,0.55103,1.04458,0.81005,0.83112,0.89455,0.59245,1.1313,0.65849,1.30972,0.0056242,0.0056242,0.0056242
223,4322.12,0.85247,0.56057,1.04765,0.85826,0.79388,0.88799,0.58944,1.13158,0.64197,1.3016,0.0056044,0.0056044,0.0056044
224,4340.79,0.83751,0.54384,1.04597,0.88077,0.77671,0.89167,0.58235,1.13614,0.65644,1.30417,0.0055846,0.0055846,0.0055846
225,4359.59,0.86935,0.5698,1.04975,0.79851,0.8674,0.8942,0.57627,1.14684,0.64761,1.31424,0.0055648,0.0055648,0.0055648
226,4377.96,0.85788,0.56343,1.05171,0.85371,0.8241,0.89521,0.58845,1.1166,0.65337,1.2979,0.005545,0.005545,0.005545
227,4397.13,0.85664,0.55438,1.04946,0.85382,0.80773,0.88428,0.58231,1.14724,0.67948,1.31728,0.0055252,0.0055252,0.0055252
228,4415.53,0.85823,0.551,1.05306,0.83746,0.8403,0.89386,0.58906,1.13564,0.65756,1.30097,0.0055054,0.0055054,0.0055054
229,4434.1,0.84821,0.55597,1.0504,0.86413,0.81357,0.89971,0.58732,1.14365,0.64986,1.30667,0.0054856,0.0054856,0.0054856
230,4452.61,0.83035,0.551,1.04461,0.86674,0.81885,0.88819,0.57437,1.17122,0.6717,1.32846,0.0054658,0.0054658,0.0054658
231,4471.76,0.84951,0.54793,1.04717,0.85475,0.81719,0.89202,0.57638,1.15283,0.67396,1.30328,0.005446,0.005446,0.005446
232,4491.06,0.82759,0.54292,1.04105,0.84425,0.82298,0.88813,0.57702,1.15051,0.66587,1.30998,0.0054262,0.0054262,0.0054262
233,4509.46,0.85065,0.56241,1.04936,0.86458,0.81734,0.88947,0.58824,1.12853,0.6601,1.31099,0.0054064,0.0054064,0.0054064
234,4527.44,0.84702,0.55035,1.04867,0.81565,0.85797,0.89394,0.57537,1.14971,0.6463,1.32996,0.0053866,0.0053866,0.0053866
235,4547.84,0.8187,0.53261,1.03911,0.82087,0.8398,0.89495,0.58328,1.14063,0.65196,1.31733,0.0053668,0.0053668,0.0053668
236,4565.54,0.82781,0.54289,1.04403,0.8426,0.83384,0.8927,0.57779,1.14332,0.65546,1.32331,0.005347,0.005347,0.005347
237,4583.74,0.83089,0.53331,1.04763,0.84136,0.84457,0.88934,0.57562,1.15699,0.64812,1.33138,0.0053272,0.0053272,0.0053272
238,4602.86,0.84218,0.55988,1.04404,0.85653,0.81874,0.89065,0.585,1.1466,0.63836,1.32538,0.0053074,0.0053074,0.0053074
239,4620.74,0.82894,0.5403,1.0408,0.84936,0.8419,0.89378,0.57903,1.15764,0.64134,1.33856,0.0052876,0.0052876,0.0052876
240,4638.84,0.82389,0.53883,1.02763,0.84473,0.83253,0.89329,0.57381,1.15458,0.66212,1.32893,0.0052678,0.0052678,0.0052678
241,4657,0.82846,0.53713,1.03546,0.85978,0.84279,0.89941,0.57748,1.16385,0.65492,1.34085,0.005248,0.005248,0.005248
242,4675.86,0.84808,0.54703,1.05891,0.85943,0.84088,0.90128,0.59162,1.14283,0.65487,1.31872,0.0052282,0.0052282,0.0052282
243,4694.57,0.83148,0.53417,1.04264,0.82574,0.85473,0.89663,0.59121,1.13593,0.63415,1.31134,0.0052084,0.0052084,0.0052084
244,4712.75,0.83492,0.54948,1.04247,0.83871,0.84103,0.90185,0.5956,1.13974,0.6263,1.30605,0.0051886,0.0051886,0.0051886
245,4731.07,0.80899,0.53566,1.03396,0.85765,0.84332,0.90405,0.59063,1.13954,0.6352,1.30781,0.0051688,0.0051688,0.0051688
246,4748.66,0.83247,0.54098,1.0425,0.91427,0.79392,0.90472,0.58914,1.14882,0.64297,1.31754,0.005149,0.005149,0.005149
247,4767.82,0.82064,0.52653,1.03212,0.89126,0.80934,0.90434,0.58952,1.15316,0.63303,1.32542,0.0051292,0.0051292,0.0051292
248,4787.18,0.83139,0.54083,1.05071,0.84568,0.81942,0.8995,0.58493,1.16052,0.64236,1.33119,0.0051094,0.0051094,0.0051094
249,4806.05,0.84535,0.54284,1.04442,0.84255,0.84146,0.90162,0.58859,1.14317,0.63778,1.32057,0.0050896,0.0050896,0.0050896
250,4824.6,0.80232,0.51856,1.03759,0.84922,0.84266,0.9064,0.59592,1.14279,0.6258,1.32263,0.0050698,0.0050698,0.0050698
251,4844.22,0.8229,0.52903,1.03688,0.85711,0.82943,0.89819,0.59008,1.14477,0.61582,1.33566,0.00505,0.00505,0.00505
252,4862.41,0.81813,0.53713,1.0255,0.85216,0.836,0.90331,0.59125,1.15199,0.62088,1.34399,0.0050302,0.0050302,0.0050302
253,4880.41,0.81609,0.5275,1.0342,0.87952,0.81137,0.90116,0.58533,1.1609,0.62657,1.33999,0.0050104,0.0050104,0.0050104
254,4898.86,0.8019,0.52947,1.03362,0.85575,0.82758,0.89791,0.58062,1.15187,0.63167,1.33381,0.0049906,0.0049906,0.0049906
255,4917.74,0.81927,0.53664,1.0337,0.86971,0.80191,0.89523,0.58193,1.15628,0.62166,1.32789,0.0049708,0.0049708,0.0049708
256,4936.83,0.81312,0.52052,1.03321,0.89362,0.82601,0.91529,0.59019,1.15827,0.6169,1.32058,0.004951,0.004951,0.004951
257,4955.2,0.82167,0.51636,1.02668,0.90583,0.79262,0.90824,0.58591,1.15293,0.61247,1.32266,0.0049312,0.0049312,0.0049312
258,4973.87,0.8132,0.52546,1.03202,0.91853,0.77937,0.90285,0.58951,1.15768,0.62364,1.32572,0.0049114,0.0049114,0.0049114
259,4993.07,0.81197,0.52997,1.03027,0.89115,0.8049,0.90042,0.58161,1.1565,0.62481,1.33079,0.0048916,0.0048916,0.0048916
260,5012.53,0.81886,0.52423,1.03951,0.88258,0.8464,0.90986,0.58604,1.15482,0.6194,1.32577,0.0048718,0.0048718,0.0048718
261,5031.14,0.81779,0.52895,1.03034,0.83907,0.85511,0.90762,0.58745,1.15776,0.62346,1.32411,0.004852,0.004852,0.004852
262,5050.25,0.80942,0.51313,1.02362,0.85335,0.85571,0.90348,0.59613,1.14745,0.61322,1.31234,0.0048322,0.0048322,0.0048322
263,5069.94,0.81077,0.52376,1.02559,0.85328,0.851,0.9092,0.59264,1.14656,0.61579,1.3143,0.0048124,0.0048124,0.0048124
264,5089.51,0.80873,0.52259,1.03033,0.85622,0.83756,0.89681,0.58643,1.15692,0.61761,1.32654,0.0047926,0.0047926,0.0047926
265,5108.29,0.81452,0.52571,1.03726,0.87287,0.83327,0.89845,0.58932,1.15193,0.61952,1.31789,0.0047728,0.0047728,0.0047728
266,5127.38,0.79682,0.51526,1.0266,0.84901,0.84282,0.89851,0.59269,1.14885,0.62793,1.30846,0.004753,0.004753,0.004753
267,5145.96,0.80363,0.5195,1.03975,0.89039,0.78128,0.89278,0.57884,1.15306,0.64208,1.32246,0.0047332,0.0047332,0.0047332
268,5164.6,0.7975,0.51479,1.03022,0.88535,0.78788,0.8896,0.58288,1.16417,0.64036,1.32724,0.0047134,0.0047134,0.0047134
269,5183.51,0.81002,0.51719,1.02763,0.88874,0.78147,0.89271,0.58365,1.15712,0.62907,1.31667,0.0046936,0.0046936,0.0046936
270,5202.66,0.7859,0.50874,1.02518,0.85477,0.8329,0.89904,0.59173,1.15117,0.62425,1.31661,0.0046738,0.0046738,0.0046738
271,5221.3,0.79925,0.50775,1.0233,0.83713,0.84459,0.89914,0.59511,1.13307,0.6151,1.31272,0.004654,0.004654,0.004654
272,5239.79,0.81013,0.52073,1.02864,0.9074,0.80111,0.90005,0.59497,1.12511,0.6076,1.30353,0.0046342,0.0046342,0.0046342
273,5258.39,0.804,0.51217,1.03405,0.89246,0.79173,0.89825,0.59109,1.13445,0.61632,1.30744,0.0046144,0.0046144,0.0046144
274,5276.54,0.77622,0.5103,1.01585,0.88309,0.83792,0.90514,0.59576,1.12328,0.61076,1.3005,0.0045946,0.0045946,0.0045946
275,5295.19,0.80885,0.51879,1.03048,0.88329,0.8243,0.90525,0.59764,1.12881,0.61235,1.30789,0.0045748,0.0045748,0.0045748
276,5313.93,0.79495,0.51176,1.03253,0.86949,0.83676,0.91008,0.60252,1.12904,0.61602,1.30755,0.004555,0.004555,0.004555
277,5332.87,0.78347,0.50426,1.01948,0.88635,0.82848,0.90951,0.59467,1.14528,0.62269,1.32283,0.0045352,0.0045352,0.0045352
278,5351.63,0.8018,0.52583,1.03111,0.88937,0.80284,0.90784,0.59554,1.15022,0.62911,1.32727,0.0045154,0.0045154,0.0045154
279,5369.12,0.79739,0.50768,1.0261,0.9017,0.78588,0.90318,0.59111,1.15114,0.63558,1.32877,0.0044956,0.0044956,0.0044956
280,5388.4,0.81004,0.52275,1.02878,0.79849,0.8762,0.89823,0.58823,1.14662,0.64246,1.32548,0.0044758,0.0044758,0.0044758
281,5407.07,0.79267,0.51065,1.02733,0.88355,0.79022,0.8998,0.5908,1.14288,0.63249,1.32481,0.004456,0.004456,0.004456
282,5424.75,0.77608,0.50082,1.01474,0.8638,0.83075,0.90109,0.59424,1.13832,0.61498,1.32664,0.0044362,0.0044362,0.0044362
283,5443.73,0.77526,0.49691,1.00936,0.90505,0.80635,0.90146,0.5935,1.14181,0.62612,1.33083,0.0044164,0.0044164,0.0044164
284,5461.95,0.78191,0.50797,1.01897,0.86128,0.84048,0.90304,0.5883,1.142,0.63442,1.32673,0.0043966,0.0043966,0.0043966
285,5479.69,0.80039,0.51646,1.02647,0.86956,0.82907,0.8993,0.58738,1.14095,0.64171,1.32355,0.0043768,0.0043768,0.0043768
286,5497.66,0.78025,0.49841,1.0161,0.87385,0.82918,0.9006,0.59107,1.13767,0.63515,1.31557,0.004357,0.004357,0.004357
287,5515.83,0.77603,0.50761,1.01081,0.86799,0.82748,0.90051,0.58906,1.1447,0.63558,1.32332,0.0043372,0.0043372,0.0043372
288,5533.99,0.77916,0.50828,1.01395,0.89626,0.7966,0.89721,0.5911,1.14659,0.62947,1.3226,0.0043174,0.0043174,0.0043174
289,5552.22,0.77363,0.49218,1.01371,0.86319,0.82275,0.89778,0.59129,1.14519,0.63612,1.32092,0.0042976,0.0042976,0.0042976
290,5570.9,0.75666,0.48953,1.01516,0.90374,0.81236,0.90392,0.59485,1.14469,0.62971,1.31908,0.0042778,0.0042778,0.0042778
291,5589.03,0.78508,0.50049,1.02023,0.90142,0.80451,0.90104,0.59052,1.15287,0.63772,1.32662,0.004258,0.004258,0.004258
292,5608.05,0.78582,0.49932,1.01662,0.8966,0.80406,0.89737,0.58863,1.14513,0.65924,1.32206,0.0042382,0.0042382,0.0042382
293,5627.52,0.76059,0.48617,1.01182,0.9054,0.7995,0.89678,0.59386,1.13893,0.65214,1.31808,0.0042184,0.0042184,0.0042184
294,5645.83,0.77222,0.49734,1.0065,0.90863,0.81053,0.90182,0.59285,1.14521,0.64493,1.32317,0.0041986,0.0041986,0.0041986
295,5663.55,0.75235,0.48496,1.01171,0.89964,0.8054,0.89977,0.58998,1.14196,0.64404,1.32538,0.0041788,0.0041788,0.0041788
296,5681.97,0.78313,0.50247,1.01146,0.86455,0.82923,0.901,0.59329,1.14264,0.62868,1.32745,0.004159,0.004159,0.004159
297,5700.25,0.77269,0.50498,1.01234,0.90368,0.79914,0.90797,0.595,1.14576,0.62079,1.32836,0.0041392,0.0041392,0.0041392
298,5719.37,0.76473,0.48669,1.01353,0.89297,0.80315,0.90493,0.59035,1.14185,0.62037,1.32585,0.0041194,0.0041194,0.0041194
299,5737.36,0.77643,0.4955,1.01406,0.90481,0.80267,0.90873,0.59243,1.14633,0.61463,1.33007,0.0040996,0.0040996,0.0040996
300,5756.01,0.76306,0.49096,1.01049,0.90133,0.81357,0.90283,0.59095,1.14971,0.61427,1.3319,0.0040798,0.0040798,0.0040798
301,5774.03,0.78434,0.49471,1.01332,0.90094,0.81202,0.90408,0.58956,1.15636,0.62392,1.3346,0.00406,0.00406,0.00406
302,5792.55,0.76126,0.49035,1.00843,0.90041,0.80747,0.90503,0.58586,1.15844,0.62598,1.33507,0.0040402,0.0040402,0.0040402
303,5810.84,0.7645,0.48446,1.00948,0.90557,0.8092,0.90716,0.59352,1.15008,0.6204,1.32574,0.0040204,0.0040204,0.0040204
304,5830.33,0.74749,0.47602,1.00078,0.89777,0.81836,0.90418,0.59219,1.14476,0.61888,1.32322,0.0040006,0.0040006,0.0040006
305,5849.79,0.75998,0.49054,1.00357,0.89596,0.82568,0.90824,0.59222,1.14887,0.61259,1.33195,0.0039808,0.0039808,0.0039808
306,5868.74,0.77076,0.49176,1.00994,0.87383,0.84341,0.90586,0.5921,1.15272,0.61661,1.33116,0.003961,0.003961,0.003961
307,5888,0.75365,0.48902,1.00832,0.86806,0.83697,0.90303,0.59554,1.14502,0.61478,1.32975,0.0039412,0.0039412,0.0039412
308,5906.66,0.7566,0.48242,1.00505,0.88536,0.83125,0.90432,0.59091,1.14346,0.6275,1.32383,0.0039214,0.0039214,0.0039214
309,5924.73,0.76846,0.49932,1.00991,0.88877,0.82585,0.90592,0.59247,1.14843,0.61963,1.3248,0.0039016,0.0039016,0.0039016
310,5943.27,0.77116,0.48707,1.00475,0.85704,0.84236,0.90237,0.59458,1.14721,0.62109,1.32253,0.0038818,0.0038818,0.0038818
311,5962.09,0.77236,0.49565,1.0125,0.84803,0.85575,0.90522,0.59385,1.14858,0.62575,1.32698,0.003862,0.003862,0.003862
312,5980.68,0.76364,0.48143,1.0181,0.90136,0.81016,0.90324,0.59149,1.15197,0.6254,1.33211,0.0038422,0.0038422,0.0038422
313,5999.78,0.77161,0.49314,1.0044,0.88983,0.82637,0.90739,0.59363,1.15371,0.62902,1.33367,0.0038224,0.0038224,0.0038224
314,6018.72,0.76656,0.49314,1.00736,0.91193,0.80968,0.90525,0.59055,1.15185,0.63016,1.32819,0.0038026,0.0038026,0.0038026
315,6037.68,0.75702,0.48639,1.00385,0.89776,0.81357,0.90601,0.58889,1.15567,0.6278,1.33691,0.0037828,0.0037828,0.0037828
316,6056.04,0.74633,0.46768,0.99524,0.88562,0.83627,0.90779,0.58795,1.15962,0.62722,1.34712,0.003763,0.003763,0.003763
317,6074.84,0.75701,0.48171,0.99865,0.88289,0.82514,0.89896,0.58793,1.16011,0.63352,1.34759,0.0037432,0.0037432,0.0037432
318,6094.03,0.77196,0.49228,1.01167,0.883,0.82586,0.9004,0.58701,1.16153,0.63095,1.35047,0.0037234,0.0037234,0.0037234
319,6113.13,0.75418,0.4894,1.00859,0.86821,0.82957,0.89313,0.58603,1.15863,0.63713,1.34497,0.0037036,0.0037036,0.0037036
320,6132.6,0.74095,0.47544,1.00351,0.89015,0.80343,0.8914,0.58236,1.15556,0.63063,1.34387,0.0036838,0.0036838,0.0036838
321,6151.44,0.75904,0.48258,1.00461,0.89653,0.81017,0.89405,0.58261,1.15761,0.63053,1.34883,0.003664,0.003664,0.003664
322,6169.71,0.7322,0.46308,1.01056,0.88765,0.82316,0.90273,0.58279,1.16306,0.63344,1.34906,0.0036442,0.0036442,0.0036442
323,6189.23,0.73831,0.4752,1.00652,0.89624,0.81059,0.9021,0.58052,1.16507,0.63925,1.35091,0.0036244,0.0036244,0.0036244
324,6208.14,0.75449,0.47419,0.99722,0.87216,0.82473,0.90182,0.57923,1.1649,0.63949,1.34982,0.0036046,0.0036046,0.0036046
325,6226.96,0.74639,0.46937,1.0034,0.88331,0.8218,0.90005,0.57887,1.16145,0.63845,1.34459,0.0035848,0.0035848,0.0035848
326,6246.06,0.72387,0.46474,0.98765,0.8777,0.81706,0.89755,0.58118,1.1598,0.64083,1.34354,0.003565,0.003565,0.003565
327,6264.94,0.73113,0.47936,1.00183,0.85853,0.8322,0.89311,0.58167,1.15823,0.64096,1.34372,0.0035452,0.0035452,0.0035452
328,6284.16,0.7373,0.46913,1.00396,0.86193,0.83015,0.89759,0.58177,1.15713,0.64656,1.33878,0.0035254,0.0035254,0.0035254
329,6302.96,0.73291,0.46948,1.00206,0.86705,0.83348,0.9021,0.58247,1.15615,0.64164,1.33689,0.0035056,0.0035056,0.0035056
330,6321.82,0.75816,0.47806,1.00124,0.85783,0.83568,0.90174,0.58283,1.15694,0.63404,1.33576,0.0034858,0.0034858,0.0034858
331,6341.01,0.72552,0.46341,0.99608,0.85719,0.83721,0.90138,0.58325,1.15627,0.63676,1.34192,0.003466,0.003466,0.003466
332,6361.03,0.74045,0.47477,0.99746,0.86542,0.82852,0.90079,0.58449,1.15695,0.63525,1.3419,0.0034462,0.0034462,0.0034462
333,6381.21,0.75141,0.47096,0.99758,0.87278,0.82771,0.89928,0.5804,1.1581,0.6286,1.344,0.0034264,0.0034264,0.0034264
334,6399.74,0.7487,0.47116,0.99449,0.86513,0.82116,0.90247,0.58004,1.15965,0.62465,1.34585,0.0034066,0.0034066,0.0034066
335,6419.59,0.74514,0.46396,0.99617,0.8743,0.82058,0.90282,0.58188,1.15643,0.62544,1.34704,0.0033868,0.0033868,0.0033868
336,6438.93,0.7235,0.46694,0.99389,0.89191,0.81306,0.90748,0.58259,1.15418,0.63112,1.34498,0.003367,0.003367,0.003367
337,6457.5,0.74773,0.48238,0.99491,0.88167,0.81357,0.90127,0.58407,1.15789,0.63055,1.35207,0.0033472,0.0033472,0.0033472
338,6477.4,0.73119,0.46489,0.99368,0.88184,0.81499,0.90265,0.58804,1.1595,0.62269,1.35253,0.0033274,0.0033274,0.0033274
339,6496.75,0.75059,0.47742,0.99771,0.87901,0.81572,0.90281,0.58717,1.15872,0.62598,1.35124,0.0033076,0.0033076,0.0033076
340,6516.18,0.7378,0.46306,0.99215,0.87633,0.82183,0.90309,0.58792,1.15853,0.62958,1.34901,0.0032878,0.0032878,0.0032878
341,6535.65,0.72032,0.46218,0.9857,0.89372,0.80827,0.90302,0.58762,1.15814,0.62848,1.35225,0.003268,0.003268,0.003268
342,6554.94,0.73351,0.47654,0.99767,0.88307,0.80928,0.90091,0.58644,1.15417,0.62187,1.34756,0.0032482,0.0032482,0.0032482
343,6574.84,0.72166,0.46205,0.99391,0.89383,0.80674,0.90112,0.59098,1.15514,0.6204,1.34832,0.0032284,0.0032284,0.0032284
344,6594.11,0.72766,0.46508,0.98528,0.89941,0.80495,0.90144,0.59028,1.15884,0.62342,1.35243,0.0032086,0.0032086,0.0032086
345,6612.51,0.72529,0.45745,0.98802,0.90113,0.79872,0.89651,0.5921,1.15649,0.62473,1.35179,0.0031888,0.0031888,0.0031888
346,6631.16,0.71367,0.45832,0.99107,0.90395,0.797,0.89962,0.59451,1.15905,0.62605,1.35459,0.003169,0.003169,0.003169
347,6649.79,0.72467,0.46187,0.99657,0.90178,0.80481,0.90248,0.59499,1.15932,0.62877,1.35549,0.0031492,0.0031492,0.0031492
348,6667.72,0.70211,0.44771,0.98416,0.86877,0.83594,0.90297,0.59432,1.15799,0.63042,1.35279,0.0031294,0.0031294,0.0031294
349,6685.51,0.71991,0.45916,0.98842,0.86782,0.83614,0.9022,0.59384,1.1597,0.63583,1.35471,0.0031096,0.0031096,0.0031096
350,6704.34,0.71277,0.45403,0.99421,0.86814,0.83223,0.90231,0.59316,1.16159,0.63885,1.3581,0.0030898,0.0030898,0.0030898
351,6722.43,0.73157,0.46443,1.00213,0.86907,0.82527,0.90327,0.59453,1.16055,0.63858,1.35529,0.00307,0.00307,0.00307
352,6740.9,0.72507,0.46741,0.99434,0.88212,0.81735,0.90298,0.59601,1.16443,0.6423,1.35367,0.0030502,0.0030502,0.0030502
353,6758.74,0.70759,0.44475,0.98561,0.8817,0.82617,0.90183,0.5916,1.16734,0.64715,1.35345,0.0030304,0.0030304,0.0030304
354,6776.86,0.70405,0.45186,0.97619,0.89116,0.81454,0.90074,0.59271,1.16264,0.64846,1.35204,0.0030106,0.0030106,0.0030106
355,6796.23,0.70907,0.45436,0.98113,0.85901,0.84346,0.9006,0.59208,1.16228,0.64931,1.35286,0.0029908,0.0029908,0.0029908
356,6815.38,0.71787,0.4557,0.99304,0.85606,0.84237,0.90334,0.59429,1.16095,0.65106,1.35324,0.002971,0.002971,0.002971
357,6834.02,0.69987,0.44701,0.98347,0.90023,0.80343,0.90252,0.59209,1.15647,0.64657,1.35363,0.0029512,0.0029512,0.0029512
358,6852.53,0.7139,0.45443,0.98028,0.89803,0.80903,0.90401,0.59178,1.15526,0.64301,1.35502,0.0029314,0.0029314,0.0029314
359,6871.7,0.70394,0.442,0.98168,0.90493,0.79939,0.90452,0.59316,1.15247,0.63542,1.35446,0.0029116,0.0029116,0.0029116
360,6890.39,0.70132,0.45545,0.98865,0.89772,0.8062,0.90352,0.59395,1.15011,0.63588,1.3513,0.0028918,0.0028918,0.0028918
361,6909.36,0.71258,0.46075,0.98988,0.90093,0.80714,0.90235,0.5934,1.14943,0.63696,1.35267,0.002872,0.002872,0.002872
